Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,825982,1825982,10000.0,2025-05-14,1
2,656578,1656578,10000.0,2025-06-28,1
3,301727,1301727,10000.0,2025-06-14,1
4,303616,1303616,10000.0,2025-01-06,1
5,77963,1077963,10000.0,2025-10-07,1
6,88198,1088198,10000.0,2025-01-06,1
7,720725,1720725,10000.0,2025-01-13,1
8,601001,1601001,10000.0,2025-11-14,1
9,282328,1282328,10000.0,2025-10-07,1
10,565271,1565271,10000.0,2025-05-07,1
11,714399,1714399,10000.0,2025-11-21,1
12,640650,1640650,10000.0,2025-10-14,1
13,640472,1640472,10000.0,2025-07-14,1
14,165435,1165435,10000.0,2025-11-07,1
15,586124,1586124,10000.0,2025-11-14,1
16,4726,1004726,10000.0,2025-06-14,1
17,370306,1370306,10000.0,2025-04-07,1
18,312464,1312464,10000.0,2025-08-28,1
19,973945,1973945,10000.0,2025-03-07,1
20,376943,1376943,10000.0,2025-04-21,1
21,929002,1929002,10000.0,2025-09-28,1
22,305477,1305477,10000.0,2025-01-27,1
23,465550,1465550,10000.0,2025-03-14,1
24,966281,1966281,10000.0,2025-11-21,1
25,502312,1502312,10000.0,2025-02-13,1
26,99218,1099218,10000.0,2025-09-28,1
27,255775,1255775,10000.0,2025-06-21,1
28,54265,1054265,10000.0,2025-09-21,1
29,151296,1151296,10000.0,2025-07-14,1
30,375674,1375674,10000.0,2025-07-07,1
31,222620,1222620,10000.0,2025-01-13,1
32,370995,1370995,10000.0,2025-10-21,1
33,955821,1955821,10000.0,2025-08-07,1
34,460555,1460555,10000.0,2025-11-07,1
35,259789,1259789,10000.0,2025-07-14,1
36,993229,1993229,10000.0,2025-04-07,1
37,797826,1797826,10000.0,2025-08-28,1
38,918721,1918721,10000.0,2025-08-28,1
39,794110,1794110,10000.0,2025-10-14,1
40,343297,1343297,10000.0,2025-11-21,1
41,685191,1685191,10000.0,2025-07-21,1
42,664753,1664753,10000.0,2025-06-28,1
43,793108,1793108,10000.0,2025-02-20,1
44,119726,1119726,10000.0,2025-02-13,1
45,225937,1225937,10000.0,2025-06-07,1
46,36743,1036743,10000.0,2025-02-06,1
47,358146,1358146,10000.0,2025-06-21,1
48,576145,1576145,10000.0,2025-01-20,1
49,439951,1439951,10000.0,2025-07-07,1
50,247552,1247552,10000.0,2025-10-21,1
51,538694,1538694,10000.0,2025-11-28,1
52,599072,1599072,10000.0,2025-03-07,1
53,142644,1142644,10000.0,2025-11-28,1
54,348758,1348758,10000.0,2025-02-13,1
55,231101,1231101,10000.0,2025-04-07,1
56,905142,1905142,10000.0,2025-01-20,1
57,313469,1313469,10000.0,2025-12-07,1
58,578958,1578958,10000.0,2025-10-21,1
59,486392,1486392,10000.0,2025-02-27,1
60,589317,1589317,10000.0,2025-12-28,1
61,122912,1122912,10000.0,2025-12-07,1
62,997480,1997480,10000.0,2025-01-27,1
63,15657,1015657,10000.0,2025-01-13,1
64,865463,1865463,10000.0,2025-11-21,1
65,519589,1519589,10000.0,2025-11-07,1
66,56048,1056048,10000.0,2025-01-20,1
67,918841,1918841,10000.0,2025-08-28,1
68,933523,1933523,10000.0,2025-05-07,1
69,576504,1576504,10000.0,2025-07-07,1
70,491329,1491329,10000.0,2025-03-21,1
71,728021,1728021,10000.0,2025-09-28,1
72,660006,1660006,10000.0,2025-07-07,1
73,399267,1399267,10000.0,2025-11-28,1
